EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
92407,O'Connell,Aidan,LVR,QB,4,24,210,75,0,Purdue
91457,Phelps,Lonnie,CLB,DE,63,22,247,74,0,Kansas
55001,Marlowe,Dean,BFB,S,31,31,205,73,6,James Madison
30779,Diabate,Mohamoud,CLB,LB,43,22,225,76,0,Utah
87323,Luter Jr.,Darrell,SFN,CB,28,23,190,72,0,South Alabama
63775,Anderson Jr.,Will,HST,DE,51,21,243,76,0,Alabama
50943,Gouraige,Richard,BFB,OT,75,24,308,77,0,Florida
70791,Calcaterra,Grant,PHE,TE,81,24,240,76,2,SMU
36099,Webb,Raleigh,NEP,WR,44,25,212,74,2,The Citadel
98156,Fehoko,Simi,DLC,WR,81,25,220,75,3,Stanford
65500,Thomas,Isaiah,CLB,DE,58,24,266,77,2,Oklahoma
63299,Wilson,Russell,DVB,QB,3,34,215,71,12,Wisconsin
38169,Taylor II,Jason,LAR,S,25,23,204,72,0,Oklahoma State
69494,Austin,Alex,BFB,CB,29,22,191,73,0,Oregon State
14486,Speaks,Breeland,SFN,DE,66,27,285,75,3,Ole Miss
29215,Cage,Jerron,NOS,DT,77,24,305,74,0,Ohio State
38969,Ryland,Chad,NEP,K,38,23,195,72,0,Maryland
79327,McMath,Racey,TNT,WR,13,24,217,75,3,LSU
80153,Sutherland,Keaton,HST,G,60,26,316,77,3,Texas A&M
59732,Ginda,Frank,ATF,LB,42,26,245,72,1,San José State
35249,Fairbairn,Ka'imi,HST,K,15,29,183,72,8,UCLA
42314,Sanchez,Rigoberto,INC,P,8,28,195,72,7,Hawai'i'
49844,Tell III,Marvell,CNB,CB,39,27,198,74,2,USC
68873,White,Cody,PTS,WR,15,24,215,75,2,Michigan State
92323,Bolton,Curtis,LVR,LB,36,27,228,72,3,Oklahoma
11619,Hill,Brian,SFN,RB,36,27,216,73,5,Wyoming
82164,Tyler Jr.,Calvin,CNB,RB,36,24,208,68,0,Utah State
56487,Smith-Schuster,JuJu,NEP,WR,7,26,215,73,7,USC
96608,Jones,DaQuan,BFB,DT,92,31,320,76,10,Penn State
44491,Ogunjobi,Larry,PTS,DT,99,29,305,75,7,Charlotte
